# Japanese UI string	Russian, one cell per original character
データがありません	Не|т |да|нн|ых| | | | 
兵士配属　　	Ра|сс|та|но|вк|а
シナリオ　　	Сц|ен|ар|ий| | 
ENEMY　PHASE	Хо|д | |вр|аг|а| | | | | 
TURN	Хо|д| | 
装備購入売却	Эк|ип|Ку|пи|Пр|од
の続き	пр|од|.
戦闘突撃防御手動	Бо|й |Ат|ак|За|щи|Ру|чн
移動攻撃魔法召喚治療指命指	Ид|ти|Ат|ак|Ча|ры|Зо|в |Ле|чь|Пр|ик| 
SCENARIOTURN	Сц|ен|ар|ий| | | | |Хо|д | | 
シナリオSCENARIOTURN	Сц|ен|ар|ий|Сц|ен|ар|ий| | | | |Хо|д | | 
ゲーム設定　高速　通常　表示設定　　高速　通常　戦闘シーン　ON　OFFPCM　　　ON　OFF高速戦闘　　ON　OFFセーフ　　　ロード　　　勝利条件　　ゲーム設定　フェイズ終了	На|ст|ро|йк|и | |Бы|ст| |Об|ыч| |Ви|д | | | | |Бы|ст| |Об|ыч| |Сц|ен|ы | | | |Вк|л | |Вы|кл| |Зв|ук| | | | |Вк|л | |Вы|кл| |Бы|ст|ры|й | | |Вк|л | |Вы|кл| |Со|хр|ан|ит|ь | |За|гр|уз|ит|ь | |Це|ль| | | | |На|ст|ро|йк|и | |Ко|не|ц |хо|да| 
セーフ　　　ロード　　　勝利条件　　ゲーム設定　フェイズ終了	Со|хр|ан|ит|ь | |За|гр|уз|ит|ь | |Це|ль| | | | |На|ст|ро|йк|и | |Ко|не|ц |хо|да| 
