jp,text,note
ワール,Варл,река; langrisser.wiki зовёт её Warl Rapids на странице Lake Valk
ヴァルク,Валк,"озеро и крепость на нём; langrisser.wiki — Valk, у fandom страницы нет"
ツインキャッスル,Замок-Близнец,"замок императора Дигоса; langrisser.wiki — Twin Castle, у fandom страницы нет; переведён как описательное имя, по образцу Тёмного и Священного жезлов"
ジークハルト,Зигхарт,"король Эльтлида; fandom зовёт его King Sieghart на странице Elthlead, у langrisser.wiki страницы нет"
ドラゴンスレイヤー,Драконобой,"меч героя; fandom — Dragonslayer; переведён как описательное имя, по образцу Тёмного жезла"
ＨＰ,ОЗ,"очки здоровья; статусная метка, рисуется полноразмерными глифами как АТ и ЗЩ"
ＭＰ,ОМ,"очки магии; статусная метка, рисуется полноразмерными глифами как АТ и ЗЩ"
ランス,Ланс,"рыцарь, позже основатель Калзаса; обе вики — Lance, это имя, а не оружие"
面セレクト,Выбор карты,"часть 3 — отладочная комната разработчиков; переведена целиком, потому что делит таблицу с именами классов, которые видны на карточке юнита"
ザーヴェラー,Заклинатель,"обе вики — Zauberer (Sorcerer); «Чародей» занят ソーサラー, «Колдун» — ウォーロック"
トルーパー,Всадник,"обе вики — Trooper, конный наёмник; «Солдат» занят ソルジャー"
ボーンディーノ,Костяной ящер,обе вики — Bone Dino
マスターディーノ,Великий ящер,langrisser.wiki — Master Dino; по образцу «Костяной ящер»
ロック,Рух,"langrisser.wiki — Roc, птица; не «камень»"
ゴースト,Дух,Ghost; «Призрак» занят レイス в паке Langrisser V
