jp,text,alt
てつアレイ,Железные гантели,
アイアンゴーレム,Железный голем,
アキターン,Акитан,
アサシン,Ассасин,
アサルトスーツ,Штурм. костюм,
アドン,Адон,
アミュレット,Амулет,
アルハザード,Альхазард,
アークデーモン,Архидемон,
アークメイジ,Архимаг,
アーバレスト,Арбалет,
アーロン,Аарон,
イェルムンガルド,Ёрмунганд,
イメルダ,Имельда,
ウィザード,Волшебник,
ウィッチ,Ведьма,
ウェアウルフ,Оборотень,
ウォーハンマー,Боевой молот,
ウォーロック,Колдун,
ウッキー,Укки,
ウルフマン,Волколак,
エグベルト,Эгберт,
エスト,Эст,
エリザ,Элиза,
エルウィン,Элвин,
エルフ,Эльф,
エレメンタル,Элементаль,
エンジェル,Ангел,
エンペラー,Император,
エヴァンゼ,Эванзе,
エージェント,Агент,
オスト,Ост,
オーガー,Огр,
オーディンのたて,Щит Одина,
オーブ,Сфера,
カオス,Хаос,
カニヲ,Канио,
カミラ,Камилла,
ガーゴイル,Горгулья,
キャプテン,Капитан,
キング,Король,
キース,Кит,
ギナム,Гинам,
クィーン,Королева,
クラウン,Корона,
クラーケン,Кракен,
クルセイダー,Крестоносец,
クレイマー,Креймер,
クレリック,Клирик,
クロス,Крест,
グラディエーター,Гладиатор,
グリフォン,Грифон,
グレイプニール,Глейпнир,
グレナディーア,Гренадер,
グレートソード,Большой меч,
グレートドラゴン,Великий дракон,
ケルベロス,Цербер,
ゲル,Слизь,
ゲルギャザー,Сборщик слизи,
ゴースト,Призрак,
ゴーレム,Голем,
サキュバス,Суккуб,
サムソン,Самсон,
サモナー,Призыватель,
サーペント,Змей,
サーペンナイト,Змеиный рыцарь,
サーペンマスター,Мастер змей,
サーペンロード,Лорд змей,
ザーヴェラー,Заверлер,
シェリー,Шери,
シスター,Сестра,
シビリアン,Мирный житель,
シャーマン,Шаман,
シルバーナイト,Серебряный рыцарь,
ジェシカ,Джессика,
ジェネラル,Генерал,
ジークハルト,Зигхарт,
スキュラ,Сцилла,
スケルトン,Скелет,
スコット,Скотт,
ストーンゴーレム,Каменный голем,
スピードブーツ,Сапоги скорости,
スペクター,Спектр,
スモールシールド,Малый щит,
セイガル,Сейгал,
セイント,Святой,
セージ,Мудрец,
ソニア,Соня,
ソルジャー,Солдат,
ソーサラー,Чародей,
ソードマスター,Мастер меча,
ソードマン,Мечник,
ゾルム,Зольм,
ゾンビ,Зомби,
ダークエルフ,Тёмный эльф,
ダークガード,Тёмный страж,
ダークプリンセス,Тёмная принцесса,
ダークマスター,Тёмный мастер,
ダークロッド,Тёмный жезл,
チェインメイル,Кольчуга,
デビルアックス,Топор дьявола,
デュラハン,Дуллахан,
デーモン,Демон,
デーモンロード,Лорд демонов,
トルーパー,Пехотинец,
ドラグーン,Драгун,
ドラゴンスケイル,Драконья чешуя,
ドラゴンナイト,Драконий рыцарь,
ドラゴンマスター,Мастер драконов,
ドラゴンロード,Лорд драконов,
ナイト,Рыцарь,
ナイトマスター,Мастер-рыцарь,
ナイフ,Нож,
ニクシー,Никса,
ネクロマンサー,Некромант,
ネックレス,Ожерелье,
ノーブル,Дворянин,
ハイエルフ,Высший эльф,
ハイプリースト,Верховный жрец,
ハイマスター,Верховный мастер,
ハイランダー,Хайлендер,
ハイロード,Высший лорд,
ハーピー,Гарпия,
バット,Летучая мышь,
バラン,Валан,
バリスタ,Баллиста,
バルガス,Варгас,
バルドー,Бальдо,
バンディッド,Бандит,
バンパイアロード,Лорд вампиров,
バーサーカー,Берсерк,
バーバリアン,Варвар,
パイク,Пикинер,
パイレーツ,Пират,
パラディン,Паладин,
ヒーロー,Герой,
ビショップ,Епископ,
ファイアス,Файас,
ファイター,Боец,
ファランクス,Фаланга,
フェアリー,Фея,
フェニックス,Феникс,
フォルガー,Фольгар,
フレイムランス,Огненное копьё,
プリンセス,Принцесса,
プリースト,Жрец,
プレートアーマー,Латный доспех,
ヘイン,Хейн,
ヘルハウンド,Адская гончая,
ベルンハルト,Бернхардт,
ホークナイト,Соколиный рыцарь,
ホークロード,Соколиный лорд,
ホーリーロッド,Священный жезл,
ボーゼル,Бёзер,
ボーンディーノ,Костяной дино,
マスターディーノ,Мастер-дино,
マーマン,Водяной,
ミノタウロス,Минотавр,
ミラージュローブ,Миражная мантия,
メイジ,Маг,
メサイヤンソード,Меч Мессии,
モンク,Монах,
モーガン,Морган,
ユニコーンナイト,Рыцарь-единорог,
ラングリッサー,Лангриссер,
ランサー,Лансьер,
ラージシールド,Большой щит,
ラーナ,Лана,
リアナ,Лиана,
リザードマン,Ящеролюд,
リッチ,Лич,
リデル,Ридель,
リビングアーマー,Живые доспехи,
リヴァイアサン,Левиафан,
ルシリス,Луширис,
ルーンストーン,Рунный камень,
レアード,Лэрд,
レイス,Призрак,
レオン,Леон,
レスター,Лестер,
レディン,Ледин,
レンジャー,Следопыт,
ロイヤルガード,Королевский гвардеец,
ロイヤルランサー,Королевский лансьер,
ロウガ,Роуга,
ロック,Рух,
ロングボウ,Длинный лук,
ロード,Лорд,
ローブ,Мантия,
ローレン,Лорен,
ワイバーン,Виверна,
ワンド,Жезл,
一般兵,Рядовой,
兄貴,Братан,
司祭,Священник,
帝国兵,Имперский солдат,
帝国軍指揮官,Командир имперской армии,
指揮官,Командир,
村人,Селянин,
海賊,Пират,
神官,Священник,
自警団,Ополчение,
謎の騎士,Таинственный рыцарь,
魔女,Ведьма,
Ｄ・スレイヤー,Д-Убийца,
